Landmark,MP_X,MP_Y,GT_X,GT_Y,Eclidean_Distance
LEFT_SHOULDER,1084,389,921,384,163.08
RIGHT_SHOULDER,921,393,1084,383,163.31
LEFT_ELBOW,1119,497,904,496,215
RIGHT_ELBOW,888,500,897,499,9.06
LEFT_WRIST,1105,599,1105,492,107
RIGHT_WRIST,895,600,894,593,7.07
LEFT_HIP,1050,614,1099,598,51.55
RIGHT_HIP,961,617,956,598,19.65
LEFT_KNEE,1057,802,1059,594,208.01
RIGHT_KNEE,973,799,965,791,11.31
LEFT_ANKLE,1035,960,1062,790,172.13
RIGHT_ANKLE,997,964,990,965,7.07
